"","Description","Ortholog","Adjusted.Pval"
"44","proton-transporting V-type ATPase complex","T.delbrueckii.Anc",1
"45","proton-transporting two-sector ATPase complex","T.delbrueckii.Anc",1
"46","ribonucleoprotein granule","T.delbrueckii.Anc",1
"47","septin cytoskeleton","T.delbrueckii.Anc",0.0433577205436234
"48","septin ring","T.delbrueckii.Anc",1
"49","side of membrane","T.delbrueckii.Anc",1
"50","site of polarized growth","T.delbrueckii.Anc",2.92509984669967e-06
"51","spliceosomal tri-snRNP complex","T.delbrueckii.Anc",1
"52","transport vesicle membrane","T.delbrueckii.Anc",1
"53","vacuolar proton-transporting V-type ATPase complex","T.delbrueckii.Anc",1
"54","vesicle","T.delbrueckii.Anc",0.00332982043338254
"55","vesicle coat","T.delbrueckii.Anc",0.0456037099036481
"56","vesicle membrane","T.delbrueckii.Anc",0.00977204815645254
"57","vesicle tethering complex","T.delbrueckii.Anc",0.0214828259542038
"58","COPI-coated vesicle","Z.rouxii.Anc",1
"59","COPI-coated vesicle membrane","Z.rouxii.Anc",1
"60","Golgi apparatus","Z.rouxii.Anc",1
"61","Golgi membrane","Z.rouxii.Anc",1
"62","Golgi-associated vesicle","Z.rouxii.Anc",1
"63","Golgi-associated vesicle membrane","Z.rouxii.Anc",1
"64","P-body","Z.rouxii.Anc",1
"65","U4/U6 x U5 tri-snRNP complex","Z.rouxii.Anc",1
"66","U6 snRNP","Z.rouxii.Anc",1
"67","actin cortical patch","Z.rouxii.Anc",2.37629140163107e-07
"68","actin cytoskeleton","Z.rouxii.Anc",1.61728657360918e-07
"69","actin filament","Z.rouxii.Anc",1
"70","cell cortex","Z.rouxii.Anc",1.92451234697075e-05
"71","cell division site","Z.rouxii.Anc",1
"72","cell pole","Z.rouxii.Anc",1.92451234697075e-05
"73","cell projection","Z.rouxii.Anc",1.92451234697075e-05
"74","cell tip","Z.rouxii.Anc",1.92451234697075e-05
"75","cellular bud","Z.rouxii.Anc",0.001076453025043
"76","cellular bud neck","Z.rouxii.Anc",0.00220941381561088
"77","cellular bud neck septin ring","Z.rouxii.Anc",1
"78","cellular bud neck septin structure","Z.rouxii.Anc",1
"79","clathrin-coated vesicle","Z.rouxii.Anc",1
"80","cleavage apparatus septin structure","Z.rouxii.Anc",1
"81","coated membrane","Z.rouxii.Anc",1
"82","coated vesicle","Z.rouxii.Anc",1
"83","coated vesicle membrane","Z.rouxii.Anc",1
"84","cortical actin cytoskeleton","Z.rouxii.Anc",8.57475517630708e-07
"85","cortical cytoskeleton","Z.rouxii.Anc",9.19439669982776e-07
"86","cytoplasmic ribonucleoprotein granule","Z.rouxii.Anc",1
"87","cytoplasmic side of membrane","Z.rouxii.Anc",1
"88","cytoplasmic vesicle","Z.rouxii.Anc",1
"89","cytoplasmic vesicle membrane","Z.rouxii.Anc",1
"90","cytoskeleton","Z.rouxii.Anc",1.92451234697075e-05
"91","endocytic patch","Z.rouxii.Anc",1.87223063254825e-08
"92","intracellular vesicle","Z.rouxii.Anc",1
"93","mating projection","Z.rouxii.Anc",1.92451234697075e-05
"94","mating projection tip","Z.rouxii.Anc",1.84101934419895e-05
"95","membrane coat","Z.rouxii.Anc",1
"96","membrane microdomain","Z.rouxii.Anc",1
"97","membrane raft","Z.rouxii.Anc",1
"98","plasma membrane bounded cell projection","Z.rouxii.Anc",1.92451234697075e-05
"99","plasma membrane protein complex","Z.rouxii.Anc",0.0268716180987031
"100","polysome","Z.rouxii.Anc",1
"101","proton-transporting V-type ATPase complex","Z.rouxii.Anc",1
"102","proton-transporting two-sector ATPase complex","Z.rouxii.Anc",1
"103","ribonucleoprotein granule","Z.rouxii.Anc",1
"104","septin cytoskeleton","Z.rouxii.Anc",1
"105","septin ring","Z.rouxii.Anc",1
"106","side of membrane","Z.rouxii.Anc",1
"107","site of polarized growth","Z.rouxii.Anc",0.0002406361989782
"108","spliceosomal tri-snRNP complex","Z.rouxii.Anc",1
"109","transport vesicle membrane","Z.rouxii.Anc",1
"110","vacuolar proton-transporting V-type ATPase complex","Z.rouxii.Anc",1
"111","vesicle","Z.rouxii.Anc",1
"112","vesicle coat","Z.rouxii.Anc",1
"113","vesicle membrane","Z.rouxii.Anc",1
"114","vesicle tethering complex","Z.rouxii.Anc",1
"115","COPI-coated vesicle","S.cerevisiae.A",1
"116","COPI-coated vesicle membrane","S.cerevisiae.A",1
"117","Golgi apparatus","S.cerevisiae.A",1
"118","Golgi membrane","S.cerevisiae.A",1
"119","Golgi-associated vesicle","S.cerevisiae.A",1
"120","Golgi-associated vesicle membrane","S.cerevisiae.A",1
"121","P-body","S.cerevisiae.A",0.0131361377216703
"122","U4/U6 x U5 tri-snRNP complex","S.cerevisiae.A",1
"123","U6 snRNP","S.cerevisiae.A",1
"124","actin cortical patch","S.cerevisiae.A",4.21132468719365e-06
"125","actin cytoskeleton","S.cerevisiae.A",1.52240482922449e-05
"126","actin filament","S.cerevisiae.A",1
"127","cell cortex","S.cerevisiae.A",9.35474312029292e-05
"128","cell division site","S.cerevisiae.A",1
"129","cell pole","S.cerevisiae.A",0.0136972982190501
"130","cell projection","S.cerevisiae.A",0.0136972982190501
"131","cell tip","S.cerevisiae.A",0.0136972982190501
"132","cellular bud","S.cerevisiae.A",0.0194671239259011
"133","cellular bud neck","S.cerevisiae.A",0.0131361377216703
"134","cellular bud neck septin ring","S.cerevisiae.A",1
"135","cellular bud neck septin structure","S.cerevisiae.A",1
"136","clathrin-coated vesicle","S.cerevisiae.A",0.0454948034884977
"137","cleavage apparatus septin structure","S.cerevisiae.A",1
"138","coated membrane","S.cerevisiae.A",1
"139","coated vesicle","S.cerevisiae.A",1
"140","coated vesicle membrane","S.cerevisiae.A",1
"141","cortical actin cytoskeleton","S.cerevisiae.A",1.02812125250033e-05
"142","cortical cytoskeleton","S.cerevisiae.A",1.02812125250033e-05
"143","cytoplasmic ribonucleoprotein granule","S.cerevisiae.A",1
"144","cytoplasmic side of membrane","S.cerevisiae.A",0.0250827422938488
"145","cytoplasmic vesicle","S.cerevisiae.A",0.0310467767295481
"146","cytoplasmic vesicle membrane","S.cerevisiae.A",1
"147","cytoskeleton","S.cerevisiae.A",0.000784952945397151
"148","endocytic patch","S.cerevisiae.A",2.12795851908326e-07
"149","intracellular vesicle","S.cerevisiae.A",0.0310467767295481
"150","mating projection","S.cerevisiae.A",0.0136972982190501
"151","mating projection tip","S.cerevisiae.A",0.0131361377216703
"152","membrane coat","S.cerevisiae.A",1
"153","membrane microdomain","S.cerevisiae.A",1
"154","membrane raft","S.cerevisiae.A",1
"155","plasma membrane bounded cell projection","S.cerevisiae.A",0.0136972982190501
"156","plasma membrane protein complex","S.cerevisiae.A",0.0194671239259011
"157","polysome","S.cerevisiae.A",0.0319028225550038
"158","proton-transporting V-type ATPase complex","S.cerevisiae.A",1
"159","proton-transporting two-sector ATPase complex","S.cerevisiae.A",1
"160","ribonucleoprotein granule","S.cerevisiae.A",1
"161","septin cytoskeleton","S.cerevisiae.A",1
"162","septin ring","S.cerevisiae.A",1
"163","side of membrane","S.cerevisiae.A",0.0310467767295481
"164","site of polarized growth","S.cerevisiae.A",0.0250827422938488
"165","spliceosomal tri-snRNP complex","S.cerevisiae.A",1
"166","transport vesicle membrane","S.cerevisiae.A",1
"167","vacuolar proton-transporting V-type ATPase complex","S.cerevisiae.A",1
"168","vesicle","S.cerevisiae.A",0.0319028225550038
"169","vesicle coat","S.cerevisiae.A",1
"170","vesicle membrane","S.cerevisiae.A",1
"171","vesicle tethering complex","S.cerevisiae.A",1
"172","COPI-coated vesicle","S.bayanusvar.uvarum.A",1
"173","COPI-coated vesicle membrane","S.bayanusvar.uvarum.A",1
"174","Golgi apparatus","S.bayanusvar.uvarum.A",1
"175","Golgi membrane","S.bayanusvar.uvarum.A",1
"176","Golgi-associated vesicle","S.bayanusvar.uvarum.A",1
"177","Golgi-associated vesicle membrane","S.bayanusvar.uvarum.A",1
"178","P-body","S.bayanusvar.uvarum.A",1
"179","U4/U6 x U5 tri-snRNP complex","S.bayanusvar.uvarum.A",1
"180","U6 snRNP","S.bayanusvar.uvarum.A",1
"181","actin cortical patch","S.bayanusvar.uvarum.A",7.21613080715133e-11
"182","actin cytoskeleton","S.bayanusvar.uvarum.A",1.33000424063115e-11
"183","actin filament","S.bayanusvar.uvarum.A",0.0158247039669185
"184","cell cortex","S.bayanusvar.uvarum.A",4.01237926019344e-07
"185","cell division site","S.bayanusvar.uvarum.A",1
"186","cell pole","S.bayanusvar.uvarum.A",2.27934619343999e-05
"187","cell projection","S.bayanusvar.uvarum.A",2.27934619343999e-05
"188","cell tip","S.bayanusvar.uvarum.A",2.27934619343999e-05
"189","cellular bud","S.bayanusvar.uvarum.A",0.0113770290808792
"190","cellular bud neck","S.bayanusvar.uvarum.A",0.0158247039669185
"191","cellular bud neck septin ring","S.bayanusvar.uvarum.A",1
"192","cellular bud neck septin structure","S.bayanusvar.uvarum.A",1
"193","clathrin-coated vesicle","S.bayanusvar.uvarum.A",1
"194","cleavage apparatus septin structure","S.bayanusvar.uvarum.A",1
"195","coated membrane","S.bayanusvar.uvarum.A",1
"196","coated vesicle","S.bayanusvar.uvarum.A",1
"197","coated vesicle membrane","S.bayanusvar.uvarum.A",1
"198","cortical actin cytoskeleton","S.bayanusvar.uvarum.A",4.31904922498307e-11
"199","cortical cytoskeleton","S.bayanusvar.uvarum.A",4.63624855223723e-11
"200","cytoplasmic ribonucleoprotein granule","S.bayanusvar.uvarum.A",1
"201","cytoplasmic side of membrane","S.bayanusvar.uvarum.A",1
"202","cytoplasmic vesicle","S.bayanusvar.uvarum.A",1
"203","cytoplasmic vesicle membrane","S.bayanusvar.uvarum.A",0.0192245903490085
"204","cytoskeleton","S.bayanusvar.uvarum.A",1.27938289233565e-06
"205","endocytic patch","S.bayanusvar.uvarum.A",7.21613080715133e-11
"206","intracellular vesicle","S.bayanusvar.uvarum.A",1
"207","mating projection","S.bayanusvar.uvarum.A",2.27934619343999e-05
"208","mating projection tip","S.bayanusvar.uvarum.A",1.47759790587051e-05
"209","membrane coat","S.bayanusvar.uvarum.A",1
"210","membrane microdomain","S.bayanusvar.uvarum.A",0.0158247039669185
"211","membrane raft","S.bayanusvar.uvarum.A",0.0158247039669185
"212","plasma membrane bounded cell projection","S.bayanusvar.uvarum.A",2.27934619343999e-05
"213","plasma membrane protein complex","S.bayanusvar.uvarum.A",0.0401395377650376
"214","polysome","S.bayanusvar.uvarum.A",1
"215","proton-transporting V-type ATPase complex","S.bayanusvar.uvarum.A",0.0236617314253102
"216","proton-transporting two-sector ATPase complex","S.bayanusvar.uvarum.A",1
"217","ribonucleoprotein granule","S.bayanusvar.uvarum.A",1
"218","septin cytoskeleton","S.bayanusvar.uvarum.A",1
"219","septin ring","S.bayanusvar.uvarum.A",1
"220","side of membrane","S.bayanusvar.uvarum.A",1
"221","site of polarized growth","S.bayanusvar.uvarum.A",9.20925652968865e-05
"222","spliceosomal tri-snRNP complex","S.bayanusvar.uvarum.A",1
"223","transport vesicle membrane","S.bayanusvar.uvarum.A",1
"224","vacuolar proton-transporting V-type ATPase complex","S.bayanusvar.uvarum.A",0.0236617314253102
"225","vesicle","S.bayanusvar.uvarum.A",1
"226","vesicle coat","S.bayanusvar.uvarum.A",1
"227","vesicle membrane","S.bayanusvar.uvarum.A",0.0192245903490085
"228","vesicle tethering complex","S.bayanusvar.uvarum.A",1
"229","COPI-coated vesicle","S.mikatae.A",1
"230","COPI-coated vesicle membrane","S.mikatae.A",1
"231","Golgi apparatus","S.mikatae.A",1
"232","Golgi membrane","S.mikatae.A",1
"233","Golgi-associated vesicle","S.mikatae.A",1
"234","Golgi-associated vesicle membrane","S.mikatae.A",1
"235","P-body","S.mikatae.A",0.00177284622966588
"236","U4/U6 x U5 tri-snRNP complex","S.mikatae.A",0.0467152881685388
"237","U6 snRNP","S.mikatae.A",0.0157847995819808
"238","actin cortical patch","S.mikatae.A",0.000398637610675009
"239","actin cytoskeleton","S.mikatae.A",0.000876478259469576
"240","actin filament","S.mikatae.A",1
"241","cell cortex","S.mikatae.A",0.0215332786146185
"242","cell division site","S.mikatae.A",1
"243","cell pole","S.mikatae.A",0.0258843745110102
"244","cell projection","S.mikatae.A",0.0258843745110102
"245","cell tip","S.mikatae.A",0.0258843745110102
"246","cellular bud","S.mikatae.A",1
"247","cellular bud neck","S.mikatae.A",1
"248","cellular bud neck septin ring","S.mikatae.A",1
"249","cellular bud neck septin structure","S.mikatae.A",1
"250","clathrin-coated vesicle","S.mikatae.A",1
"251","cleavage apparatus septin structure","S.mikatae.A",1
"252","coated membrane","S.mikatae.A",0.0467152881685388
"253","coated vesicle","S.mikatae.A",0.0467152881685388
"254","coated vesicle membrane","S.mikatae.A",1
"255","cortical actin cytoskeleton","S.mikatae.A",0.000664318723038313
"256","cortical cytoskeleton","S.mikatae.A",0.000664318723038313
"257","cytoplasmic ribonucleoprotein granule","S.mikatae.A",0.0258843745110102
"258","cytoplasmic side of membrane","S.mikatae.A",0.0360891569629873
"259","cytoplasmic vesicle","S.mikatae.A",1
"260","cytoplasmic vesicle membrane","S.mikatae.A",1
"261","cytoskeleton","S.mikatae.A",0.040880433144605
"262","endocytic patch","S.mikatae.A",0.000398637610675009
"263","intracellular vesicle","S.mikatae.A",1
"264","mating projection","S.mikatae.A",0.0258843745110102
"265","mating projection tip","S.mikatae.A",0.0258843745110102
"266","membrane coat","S.mikatae.A",0.0467152881685388
"267","membrane microdomain","S.mikatae.A",1
"268","membrane raft","S.mikatae.A",1
"269","plasma membrane bounded cell projection","S.mikatae.A",0.0258843745110102
"270","plasma membrane protein complex","S.mikatae.A",0.026625089492293
"271","polysome","S.mikatae.A",0.0446491867116238
"272","proton-transporting V-type ATPase complex","S.mikatae.A",1
"273","proton-transporting two-sector ATPase complex","S.mikatae.A",1
"274","ribonucleoprotein granule","S.mikatae.A",0.0258843745110102
"275","septin cytoskeleton","S.mikatae.A",1
"276","septin ring","S.mikatae.A",1
"277","side of membrane","S.mikatae.A",0.0446491867116238
"278","site of polarized growth","S.mikatae.A",0.0446491867116238
"279","spliceosomal tri-snRNP complex","S.mikatae.A",0.0467152881685388
"280","transport vesicle membrane","S.mikatae.A",0.0409341739112399
"281","vacuolar proton-transporting V-type ATPase complex","S.mikatae.A",1
"282","vesicle","S.mikatae.A",1
"283","vesicle coat","S.mikatae.A",0.0446491867116238
"284","vesicle membrane","S.mikatae.A",1
"285","vesicle tethering complex","S.mikatae.A",1
"286","COPI-coated vesicle","S.kudriavzevii.A",1
"287","COPI-coated vesicle membrane","S.kudriavzevii.A",1
"288","Golgi apparatus","S.kudriavzevii.A",1
"289","Golgi membrane","S.kudriavzevii.A",1
"290","Golgi-associated vesicle","S.kudriavzevii.A",1
"291","Golgi-associated vesicle membrane","S.kudriavzevii.A",1
"292","P-body","S.kudriavzevii.A",1
"293","U4/U6 x U5 tri-snRNP complex","S.kudriavzevii.A",1
"294","U6 snRNP","S.kudriavzevii.A",1
"295","actin cortical patch","S.kudriavzevii.A",1.90497041340723e-06
"296","actin cytoskeleton","S.kudriavzevii.A",8.09102383186259e-07
"297","actin filament","S.kudriavzevii.A",1
"298","cell cortex","S.kudriavzevii.A",5.20703411496637e-05
"299","cell division site","S.kudriavzevii.A",1
"300","cell pole","S.kudriavzevii.A",0.00101381242669042
"301","cell projection","S.kudriavzevii.A",0.00101381242669042
"302","cell tip","S.kudriavzevii.A",0.00101381242669042
"303","cellular bud","S.kudriavzevii.A",0.0153724601564288
"304","cellular bud neck","S.kudriavzevii.A",0.00591402708715631
"305","cellular bud neck septin ring","S.kudriavzevii.A",1
"306","cellular bud neck septin structure","S.kudriavzevii.A",1
"307","clathrin-coated vesicle","S.kudriavzevii.A",0.0400415638811665
"308","cleavage apparatus septin structure","S.kudriavzevii.A",1
"309","coated membrane","S.kudriavzevii.A",1
"310","coated vesicle","S.kudriavzevii.A",1
"311","coated vesicle membrane","S.kudriavzevii.A",1
"312","cortical actin cytoskeleton","S.kudriavzevii.A",5.44821595625377e-06
"313","cortical cytoskeleton","S.kudriavzevii.A",5.59630537743172e-06
"314","cytoplasmic ribonucleoprotein granule","S.kudriavzevii.A",1
"315","cytoplasmic side of membrane","S.kudriavzevii.A",0.0216738734484277
"316","cytoplasmic vesicle","S.kudriavzevii.A",0.0255664344260677
"317","cytoplasmic vesicle membrane","S.kudriavzevii.A",1
"318","cytoskeleton","S.kudriavzevii.A",5.12856788810119e-05
"319","endocytic patch","S.kudriavzevii.A",1.3538598336399e-07
"320","intracellular vesicle","S.kudriavzevii.A",0.0255664344260677
"321","mating projection","S.kudriavzevii.A",0.00101381242669042
"322","mating projection tip","S.kudriavzevii.A",0.000927248951590509
"323","membrane coat","S.kudriavzevii.A",1
"324","membrane microdomain","S.kudriavzevii.A",0.0408145364839059
"325","membrane raft","S.kudriavzevii.A",0.0408145364839059
"326","plasma membrane bounded cell projection","S.kudriavzevii.A",0.00101381242669042
"327","plasma membrane protein complex","S.kudriavzevii.A",0.0159500911601676
"328","polysome","S.kudriavzevii.A",0.0281031039298936
"329","proton-transporting V-type ATPase complex","S.kudriavzevii.A",1
"330","proton-transporting two-sector ATPase complex","S.kudriavzevii.A",1
"331","ribonucleoprotein granule","S.kudriavzevii.A",1
"332","septin cytoskeleton","S.kudriavzevii.A",1
"333","septin ring","S.kudriavzevii.A",1
"334","side of membrane","S.kudriavzevii.A",0.0257756142507173
"335","site of polarized growth","S.kudriavzevii.A",0.00350929539061215
"336","spliceosomal tri-snRNP complex","S.kudriavzevii.A",1
"337","transport vesicle membrane","S.kudriavzevii.A",1
"338","vacuolar proton-transporting V-type ATPase complex","S.kudriavzevii.A",1
"339","vesicle","S.kudriavzevii.A",0.0257756142507173
"340","vesicle coat","S.kudriavzevii.A",1
"341","vesicle membrane","S.kudriavzevii.A",1
"342","vesicle tethering complex","S.kudriavzevii.A",1
"343","COPI-coated vesicle","C.glabrata.B",1
"344","COPI-coated vesicle membrane","C.glabrata.B",1
"345","Golgi apparatus","C.glabrata.B",1
"346","Golgi membrane","C.glabrata.B",1
"347","Golgi-associated vesicle","C.glabrata.B",1
"348","Golgi-associated vesicle membrane","C.glabrata.B",1
"349","P-body","C.glabrata.B",1
"350","U4/U6 x U5 tri-snRNP complex","C.glabrata.B",1
"351","U6 snRNP","C.glabrata.B",1
"352","actin cortical patch","C.glabrata.B",0.000324084993928502
"353","actin cytoskeleton","C.glabrata.B",0.000554626014297582
"354","actin filament","C.glabrata.B",1
"355","cell cortex","C.glabrata.B",0.00059682537014567
"356","cell division site","C.glabrata.B",1
"357","cell pole","C.glabrata.B",0.0199382302564825
"358","cell projection","C.glabrata.B",0.0199382302564825
"359","cell tip","C.glabrata.B",0.0199382302564825
"360","cellular bud","C.glabrata.B",1
"361","cellular bud neck","C.glabrata.B",0.0455400106778459
"362","cellular bud neck septin ring","C.glabrata.B",1
"363","cellular bud neck septin structure","C.glabrata.B",1
"364","clathrin-coated vesicle","C.glabrata.B",0.0199382302564825
"365","cleavage apparatus septin structure","C.glabrata.B",1
"366","coated membrane","C.glabrata.B",1
"367","coated vesicle","C.glabrata.B",1
"368","coated vesicle membrane","C.glabrata.B",1
"369","cortical actin cytoskeleton","C.glabrata.B",0.000461122862646355
"370","cortical cytoskeleton","C.glabrata.B",0.000461122862646355
"371","cytoplasmic ribonucleoprotein granule","C.glabrata.B",1
"372","cytoplasmic side of membrane","C.glabrata.B",1
"373","cytoplasmic vesicle","C.glabrata.B",0.0208801101281291
"374","cytoplasmic vesicle membrane","C.glabrata.B",1
"375","cytoskeleton","C.glabrata.B",0.00269249766442951
"376","endocytic patch","C.glabrata.B",1.28868668062977e-05
"377","intracellular vesicle","C.glabrata.B",0.0208801101281291
"378","mating projection","C.glabrata.B",0.0199382302564825
"379","mating projection tip","C.glabrata.B",0.0199382302564825
"380","membrane coat","C.glabrata.B",1
"381","membrane microdomain","C.glabrata.B",1
"382","membrane raft","C.glabrata.B",1
"383","plasma membrane bounded cell projection","C.glabrata.B",0.0199382302564825
"384","plasma membrane protein complex","C.glabrata.B",1
"385","polysome","C.glabrata.B",0.0199382302564825
"386","proton-transporting V-type ATPase complex","C.glabrata.B",1
"387","proton-transporting two-sector ATPase complex","C.glabrata.B",1
"388","ribonucleoprotein granule","C.glabrata.B",1
"389","septin cytoskeleton","C.glabrata.B",1
"390","septin ring","C.glabrata.B",1
"391","side of membrane","C.glabrata.B",1
"392","site of polarized growth","C.glabrata.B",1
"393","spliceosomal tri-snRNP complex","C.glabrata.B",1
"394","transport vesicle membrane","C.glabrata.B",1
"395","vacuolar proton-transporting V-type ATPase complex","C.glabrata.B",1
"396","vesicle","C.glabrata.B",0.0208801101281291
"397","vesicle coat","C.glabrata.B",1
"398","vesicle membrane","C.glabrata.B",1
"399","vesicle tethering complex","C.glabrata.B",0.0208801101281291
"400","COPI-coated vesicle","N.castellii.A",1
"401","COPI-coated vesicle membrane","N.castellii.A",1
"402","Golgi apparatus","N.castellii.A",1
"403","Golgi membrane","N.castellii.A",1
"404","Golgi-associated vesicle","N.castellii.A",1
"405","Golgi-associated vesicle membrane","N.castellii.A",1
"406","P-body","N.castellii.A",1
"407","U4/U6 x U5 tri-snRNP complex","N.castellii.A",1
"408","U6 snRNP","N.castellii.A",1
"409","actin cortical patch","N.castellii.A",1
"410","actin cytoskeleton","N.castellii.A",1
"411","actin filament","N.castellii.A",1
"412","cell cortex","N.castellii.A",1
"413","cell division site","N.castellii.A",1
"414","cell pole","N.castellii.A",1
"415","cell projection","N.castellii.A",1
"416","cell tip","N.castellii.A",1
"417","cellular bud","N.castellii.A",1
"418","cellular bud neck","N.castellii.A",1
"419","cellular bud neck septin ring","N.castellii.A",1
"420","cellular bud neck septin structure","N.castellii.A",1
"421","clathrin-coated vesicle","N.castellii.A",1
"422","cleavage apparatus septin structure","N.castellii.A",1
"423","coated membrane","N.castellii.A",1
"424","coated vesicle","N.castellii.A",1
"425","coated vesicle membrane","N.castellii.A",1
"426","cortical actin cytoskeleton","N.castellii.A",1
"427","cortical cytoskeleton","N.castellii.A",1
"428","cytoplasmic ribonucleoprotein granule","N.castellii.A",1
"429","cytoplasmic side of membrane","N.castellii.A",1
"430","cytoplasmic vesicle","N.castellii.A",1
"431","cytoplasmic vesicle membrane","N.castellii.A",1
"432","cytoskeleton","N.castellii.A",1
"433","endocytic patch","N.castellii.A",1
"434","intracellular vesicle","N.castellii.A",1
"435","mating projection","N.castellii.A",1
"436","mating projection tip","N.castellii.A",1
"437","membrane coat","N.castellii.A",1
"438","membrane microdomain","N.castellii.A",1
"439","membrane raft","N.castellii.A",1
"440","plasma membrane bounded cell projection","N.castellii.A",1
"441","plasma membrane protein complex","N.castellii.A",1
"442","polysome","N.castellii.A",1
"443","proton-transporting V-type ATPase complex","N.castellii.A",1
"444","proton-transporting two-sector ATPase complex","N.castellii.A",1
"445","ribonucleoprotein granule","N.castellii.A",1
"446","septin cytoskeleton","N.castellii.A",1
"447","septin ring","N.castellii.A",1
"448","side of membrane","N.castellii.A",1
"449","site of polarized growth","N.castellii.A",1
"450","spliceosomal tri-snRNP complex","N.castellii.A",1
"451","transport vesicle membrane","N.castellii.A",1
"452","vacuolar proton-transporting V-type ATPase complex","N.castellii.A",1
"453","vesicle","N.castellii.A",1
"454","vesicle coat","N.castellii.A",1
"455","vesicle membrane","N.castellii.A",1
"456","vesicle tethering complex","N.castellii.A",1
"457","COPI-coated vesicle","N.castellii.B",1
"458","COPI-coated vesicle membrane","N.castellii.B",1
"459","Golgi apparatus","N.castellii.B",0.0385606028983012
"460","Golgi membrane","N.castellii.B",0.0205112747659152
"461","Golgi-associated vesicle","N.castellii.B",1
"462","Golgi-associated vesicle membrane","N.castellii.B",1
"463","P-body","N.castellii.B",1
"464","U4/U6 x U5 tri-snRNP complex","N.castellii.B",1
"465","U6 snRNP","N.castellii.B",1
"466","actin cortical patch","N.castellii.B",7.45497463513428e-06
"467","actin cytoskeleton","N.castellii.B",2.4036109471256e-05
"468","actin filament","N.castellii.B",1
"469","cell cortex","N.castellii.B",0.00159218996636781
"470","cell division site","N.castellii.B",1
"471","cell pole","N.castellii.B",0.00193326724788199
"472","cell projection","N.castellii.B",0.00193326724788199
"473","cell tip","N.castellii.B",0.00193326724788199
"474","cellular bud","N.castellii.B",1
"475","cellular bud neck","N.castellii.B",0.0479196055047207
"476","cellular bud neck septin ring","N.castellii.B",1
"477","cellular bud neck septin structure","N.castellii.B",1
"478","clathrin-coated vesicle","N.castellii.B",1
"479","cleavage apparatus septin structure","N.castellii.B",1
"480","coated membrane","N.castellii.B",1
"481","coated vesicle","N.castellii.B",1
"482","coated vesicle membrane","N.castellii.B",1
"483","cortical actin cytoskeleton","N.castellii.B",1.62747317542035e-05
"484","cortical cytoskeleton","N.castellii.B",1.62747317542035e-05
"485","cytoplasmic ribonucleoprotein granule","N.castellii.B",1
"486","cytoplasmic side of membrane","N.castellii.B",1
