Gene,ORF,c1536,r1536
YFR021W,ATG18,6,5
YCR005C,CIT2,6,7
YMR192W,GYL1,6,9
YLR332W,MID2,6,11
YPR124W,CTR1,6,13
YKR003W,OSH6,6,15
YDR011W,SNQ2,6,17
YLR138W,NHA1,6,19
YHL016C,DUR3,6,21
YJR076C,CDC11,6,23
YLR454W,FMP27,6,25
YHR001W,OSH7,6,27
YOR273C,TPO4,6,29
Border,Border,6,31
Border,Border,8,1
YMR275C,BUL1,8,3
YDR265W,PEX10,8,5
YKL144C,RPC25,8,7
YPR129W,SCD6,8,9
YLR326W,YLR326W,8,11
YOR147W,MDM32,8,13
YNR052C,POP2,8,15
YLR413W,INA1,8,17
YDR296W,MHR1,8,19
YNL197C,WHI3,8,21
YLR206W,ENT2,8,23
YDL225W,SHS1,8,25
YGR241C,YAP1802,8,27
YIL068C,SEC6,8,29
Border,Border,8,31
Border,Border,10,1
YDR503C,LPP1,10,3
YLR409C,UTP21,10,5
YLR129W,DIP2,10,7
YGL195W,GCN1,10,9
YNL118C,DCP2,10,11
YDL246C,SOR2,10,13
YJR022W,LSM8,10,15
YDL224C,WHI4,10,17
YNL091W,NST1,10,19
YDR378C,LSM6,10,21
YFL047W,RGD2,10,23
YHL029C,OCA5,10,25
YDL002C,NHP10,10,27
YDR162C,NBP2,10,29
Border,Border,10,31
Border,Border,12,1
YHR027C,RPN1,12,3
YOR117W,RPT5,12,5
YGL048C,RPT6,12,7
YKL145W,RPT1,12,9
YKL079W,SMY1,12,11
YPL139C,UME1,12,13
YML058W-A,HUG1,12,15
YKL214C,YRA2,12,17
YDR063W,AIM7,12,19
YNL229C,URE2,12,21
YDR072C,IPT1,12,23
YLR384C,IKI3,12,25
YLR435W,TSR2,12,27
YGR288W,MAL13,12,29
Border,Border,12,31
Border,Border,14,1
YDR238C,SEC26,14,3
YNL045W,LAP2,14,5
YNL259C,ATX1,14,7
YDR385W,EFT2,14,9
YDR517W,GRH1,14,11
YDL058W,USO1,14,13
YOL147C,PEX11,14,15
YPL112C,PEX25,14,17
YGL153W,PEX14,14,19
YLR191W,PEX13,14,21
YLR424W,SPP382,14,23
YLR196W,PWP1,14,25
YNL187W,SWT21,14,27
YML031W,NDC1,14,29
Border,Border,14,31
Border,Border,16,1
YOL026C,MIM1,16,3
YPL210C,SRP72,16,5
YDR427W,RPN9,16,7
YOR261C,RPN8,16,9
YGL020C,GET1,16,11
YJL036W,SNX4,16,13
YGL023C,PIB2,16,15
YDL125C,HNT1,16,17
YDL182W,LYS20,16,19
YDL131W,LYS21,16,21
YFR004W,RPN11,16,23
YMR322C,SNO4,16,25
YOR204W,DED1,16,27
YEL015W,EDC3,16,29
Border,Border,16,31
Border,Border,18,1
YOL149W,DCP1,18,3
YGR178C,PBP1,18,5
YMR080C,NAM7,18,7
YHR121W,LSM12,18,9
YER035W,EDC2,18,11
YLR077W,FMP25,18,13
YDR419W,RAD30,18,15
YOL137W,BSC6,18,17
YLR083C,EMP70,18,19
YNR028W,CPR8,18,21
YFL038C,YPT1,18,23
YNL323W,LEM3,18,25
YGL162W,SUT1,18,27
YDR092W,UBC13,18,29
Border,Border,18,31
Border,Border,20,1
YLR371W,ROM2,20,3
YDL204W,RTN2,20,5
YDL207W,GLE1,20,7
YNL112W,DBP2,20,9
YGR280C,PXR1,20,11
YJL148W,RPA34,20,13
YNR038W,DBP6,20,15
YDL213C,NOP6,20,17
YGR191W,HIP1,20,19
YML038C,YMD8,20,21
YNL186W,UBP10,20,23
YLL001W,DNM1,20,25
YGR121C,MEP1,20,27
YLR219W,MSC3,20,29
Border,Border,20,31
Border,Border,22,1
YNL173C,MDG1,22,3
YMR011W,HXT2,22,5
YGL108C,YGL108C,22,7
YKR100C,SKG1,22,9
YJL016W,YJL016W,22,11
YPL032C,SVL3,22,13
YOL100W,PKH2,22,15
YOR153W,PDR5,22,17
YLR006C,SSK1,22,19
YOR301W,RAX1,22,21
YLR420W,URA4,22,23
YMR120C,ADE17,22,25
YDR479C,PEX29,22,27
YDR477W,SNF1,22,29
Border,Border,22,31
Border,Border,24,1
YLR028C,ADE16,24,3
YLR237W,THI7,24,5
YOR206W,NOC2,24,9
YDR068W,DOS2,24,11
YKL004W,AUR1,24,13
YLR020C,YEH2,24,15
YLR288C,MEC3,24,17
YGL087C,MMS2,24,19
YMR256C,COX7,24,21
YMR140W,SIP5,24,23
YER061C,CEM1,24,25
YGR005C,TFG2,24,27
YKR071C,DRE2,24,29
Border,Border,24,31
Border,Border,26,1
YKR088C,TVP38,26,3
YDR189W,SLY1,26,5
YER157W,COG3,26,7
YIL062C,ARC15,26,9
YLR084C,RAX2,26,11
YPL059W,GRX5,26,13
YHR060W,VMA22,26,15
YGR173W,RBG2,26,17
YPR106W,ISR1,26,19
YDR156W,RPA14,26,21
YDR170C,SEC7,26,23
YLR045C,STU2,26,25
YPR105C,COG4,26,27
YHR034C,PIH1,26,29
Border,Border,26,31
Border,Border,28,1
YPL130W,SPO19,28,3
YML068W,ITT1,28,5
YPL057C,SUR1,28,7
YOL090W,MSH2,28,9
YJR040W,GEF1,28,11
YHR135C,YCK1,28,13
YGR223C,HSV2,28,15
YIL127C,RRT14,28,17
YPL119C,DBP1,28,19
YDR300C,PRO1,28,21
YDR305C,HNT2,28,23
YDR321W,ASP1,28,25
YJL069C,UTP18,28,27
YJL109C,UTP10,28,29
Border,Border,28,31
Border,Border,30,1
YGR128C,UTP8,30,3
YDR365C,ESF1,30,5
YDR398W,UTP5,30,7
YHR188C,GPI16,30,9
YLR088W,GAA1,30,11
YOR110W,TFC7,30,13
YDR379W,RGA2,30,15
YLR172C,DPH5,30,17
YKL191W,DPH2,30,19
YNL313C,EMW1,30,21
YGR232W,NAS6,30,23
YER159C,BUR6,30,25
YMR093W,UTP15,30,27
YHR196W,UTP9,30,29
Border,Border,30,31
Border,Border,32,1
YHR084W,STE12,32,3
YDR420W,HKR1,32,5
YMR161W,HLJ1,32,7
YGL064C,MRH4,32,9
YKR080W,MTD1,32,11
YKR072C,SIS2,32,13
YJR085C,YJR085C,32,15
YOR393W,ERR1,32,17
YLL033W,IRC19,32,19
YLR089C,ALT1,32,21
YLR082C,SRL2,32,23
YHR008C,SOD2,32,25
YLR181C,VTA1,32,27
YDR486C,VPS60,32,29
Border,Border,32,31
Border,Border,34,1
YLR025W,SNF7,34,3
YGR169C-A,LSO2,34,5
YLR248W,RCK2,34,7
YER036C,ARB1,34,9
YER113C,TMN3,34,11
YIL109C,SEC24,34,13
YJR138W,IML1,34,15
YEL017W,GTT3,34,17
YGR105W,VMA21,34,19
YJR033C,RAV1,34,21
YLR447C,VMA6,34,23
YER042W,MXR1,34,25
YGL029W,CGR1,34,27
YIR025W,MND2,34,29
Border,Border,34,31
Border,Border,36,1
YKL126W,YPK1,36,3
YMR293C,HER2,36,5
YOR127W,RGA1,36,7
YGL205W,POX1,36,9
YER023W,PRO3,36,11
YHR004C,NEM1,36,13
YLR466W,YRF1-4,36,15
YER063W,THO1,36,17
YJR091C,JSN1,36,19
YLL011W,SOF1,36,21
YJL060W,BNA3,36,23
YER095W,RAD51,36,25
YKL068W,NUP100,36,27
YIL115C,NUP159,36,29
Border,Border,36,31
Border,Border,38,1
YPL211W,NIP7,38,3
YLR262C,YPT6,38,5
YGL210W,YPT32,38,7
YML001W,YPT7,38,9
YFL005W,SEC4,38,11
YMR058W,FET3,38,13
YNL041C,COG6,38,15
YNR065C,YNR065C,38,17
YGL061C,DUO1,38,19
YLR160C,ASP3-4,38,21
YGR099W,TEL2,38,23
YOR370C,MRS6,38,25
YMR136W,GAT2,38,27
YOL125W,TRM13,38,29
Border,Border,38,31
Border,Border,40,1
YPR121W,THI22,40,3
YGL172W,NUP49,40,5
YLR335W,NUP2,40,7
YKL193C,SDS22,40,9
YNL098C,RAS2,40,11
YOR276W,CAF20,40,13
YLR033W,RSC58,40,15
YLR246W,ERF2,40,17
YLR386W,VAC14,40,19
YOR042W,CUE5,40,21
YLR154C-G,YLR154C-G,40,23
YLR154C-G,YLR154C-G,40,25
YLR154C-G,YLR154C-G,40,27
YPL198W,RPL7B,40,29
Border,Border,40,31
Border,Border,42,1
YHR016C,YSC84,42,3
YPR040W,TIP41,42,5
YGL256W,ADH4,42,7
YMR221C,YMR221C,42,9
YPL006W,NCR1,42,11
YOR362C,PRE10,42,13
YML092C,PRE8,42,15
YHR133C,NSG1,42,17
YOR061W,CKA2,42,19
YOR039W,CKB2,42,21
YLR154C-G,YLR154C-G,42,23
YLR154C-G,YLR154C-G,42,25
YPL198W,RPL7B,42,27
YPL198W,RPL7B,42,29
Border,Border,42,31
Border,Border,44,1
YOR294W,RRS1,44,3
YGL040C,HEM2,44,5
YGL070C,RPB9,44,7
YOR259C,RPT4,44,9
YMR255W,GFD1,44,11
YJR042W,NUP85,44,13
YPR016C,TIF6,44,15
YKL026C,GPX1,44,17
YHR072W-A,NOP10,44,19
YMR269W,TMA23,44,21
YLR154C-G,YLR154C-G,44,23
YPL198W,RPL7B,44,25
Empty,Empty,44,27
Empty,Empty,44,29
Border,Border,44,31
Border,Border,46,1
YIL033C,BCY1,46,3
YPL283C,YRF1-7,46,5
YGL122C,NAB2,46,7
YPL190C,NAB3,46,9
YOR323C,PRO2,46,11
YNL007C,SIS1,46,13
YNL274C,GOR1,46,15
YNL329C,PEX6,46,17
YNL214W,PEX17,46,19
YLR035C,MLH2,46,21
YPL198W,RPL7B,46,23
YPL198W,RPL7B,46,25
Empty,Empty,46,27
Empty,Empty,46,29
Border,Border,46,31
Border,Border,48,1
Border,Border,48,3
Border,Border,48,5
Border,Border,48,7
Border,Border,48,9
Border,Border,48,11
Border,Border,48,13
Border,Border,48,15
Border,Border,48,17
Border,Border,48,19
Border,Border,48,21
Border,Border,48,23
Border,Border,48,25
Border,Border,48,27
Border,Border,48,29
Border,Border,48,31
Border,Border,1,2
Border,Border,1,4
Border,Border,1,6
Border,Border,1,8
Border,Border,1,10
Border,Border,1,12
Border,Border,1,14
Border,Border,1,16
Border,Border,1,18
Border,Border,1,20
Border,Border,1,22
Border,Border,1,24
Border,Border,1,26
Border,Border,1,28
Border,Border,1,30
Border,Border,1,32
Border,Border,3,2
YGR119C,NUP57,3,4
YJL041W,NSP1,3,6
YOR357C,SNX3,3,8
YPR075C,OPY2,3,10
YOR027W,STI1,3,12
YIL044C,AGE2,3,14
YPR029C,APL4,3,16
YGR234W,YHB1,3,18
YMR231W,PEP5,3,20
YHR069C,RRP4,3,22
YOR267C,HRK1,3,24
YPR187W,REP2,3,26
YGL213C,SKI8,3,28
YGR008C,STF2,3,30
Border,Border,3,32
Border,Border,5,2
YGR270W,YTA7,5,4
YLR182W,SWI6,5,6
YLR272C,YCS4,5,8
YGR106C,VOA1,5,10
YGR028W,MSP1,5,12
YML013W,UBX2,5,14
YMR299C,DYN3,5,16
YNL268W,LYP1,5,18
YJL117W,PHO86,5,20
YLR056W,ERG3,5,22
YMR134W,ERG29,5,24
YLR378C,SEC61,5,26
YML094W,GIM5,5,28
YNL153C,GIM3,5,30
Border,Border,5,32
Border,Border,7,2
YGR080W,TWF1,7,4
YKR026C,GCN3,7,6
YLR291C,GCD7,7,8
YNL190W,YNL190W,7,10
YGR161C,RTS3,7,12
YPL263C,KEL3,7,14
YLR216C,CPR6,7,16
YMR212C,EFR3,7,18
YPL101W,ELP4,7,20
YHR187W,IKI1,7,22
YHR158C,KEL1,7,24
YGR256W,GND2,7,26
