"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,6,41,47621.5,54783,0.869275140098206
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,10,7,45827,48361.5,0.94759260982393
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,10,35,50192,54785.5,0.91615482198757
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,14,35,53971,51903.5,1.03983353723737
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,18,27,48894,53344.5,0.916570593032084
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,20,31,50237.5,55255.5,0.909185510944612
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,20,39,47243.5,54992,0.859097686936282
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,22,19,47574,52235.5,0.910759923806607
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,24,39,49324,54470,0.90552597760235
"C.glabrata (CAGL0H03553g)","T.phaffii (TPHA0J02370)",9,30,25,47046,55217.5,0.852012496038394
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,4,11,43049,47178.5,0.912470722892843
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,6,41,47563,49878.5,0.953577192577964
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,10,7,44283,46709,0.948061401442977
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,10,35,50789.5,54480.5,0.932250988885932
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,14,35,52040,55225.5,0.942318313098116
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,18,27,48326.5,51612.5,0.936333252603536
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,20,31,48140,52775.5,0.91216568294
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,20,39,48360,57630,0.839146277980219
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,22,19,48343.5,49812,0.970519152011563
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,24,39,48162,55833.5,0.86260041014803
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1002.53)",7,30,25,45864.5,56278,0.814963218309108
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,4,11,41009.5,50195,0.817003685626058
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,6,41,44716,51243,0.872626505083621
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,10,7,39454.5,49422.5,0.798310486114624
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,10,35,43662.5,49348.5,0.884778666018217
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,14,35,43922.5,52785.5,0.832094040977162
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,18,27,40044,47201,0.848371856528463
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,20,31,44811.5,50411.5,0.888914235839045
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,20,39,43982.5,54412,0.808323531573918
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,22,19,42350,50311.5,0.841755860986057
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,24,39,45573.5,53779,0.84742185611484
"C.glabrata (CAGL0H03553g)","V.polyspora (Kpol_1033.51)",8,30,25,44954,53611.5,0.838514124768007
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,4,12,37552,52412,0.71647714263909
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,6,42,49753,63313.5,0.785819769875303
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,10,8,37936,55322,0.685730812335057
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,10,36,51653,63776.5,0.809906470251582
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,14,36,48307,62476.5,0.773202724224308
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,18,28,46770,60675.5,0.770821830887261
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,20,32,48786.5,60950,0.800434782608696
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,20,40,48658,60928,0.798614758403361
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,22,20,44960,59106,0.760667275741887
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,24,40,46682,58870.5,0.792960820784604
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",1,30,26,45879,64652.5,0.709624531147287
