Genus,Species,Taxonomy_ID,Assay,Genome,Genome.Accession,Protein,Protein.Accession
Kluyveromyces,Kluyveromyces starmeri,2613904,,Yes,GCA_008973615.1_ASM897361v1_genomic.fna,No,
Kluyveromyces,Kluyveromyces wickerhamii,51658,,Yes,GCA_000179415.1_ASM17941v1_genomic.fna,No,
Kazachstania,Kazachstania aerobia,271218,,Yes,GCA_028408415.1_UA_PF_8_W29_2021_genomic.fna,No,
Kazachstania,Kazachstania africana,432096,,Yes,GCA_000304475.1_Ka_CBS2517_genomic.fna,Yes,GCA_000304475.1_Ka_CBS2517_protein.faa
Kazachstania,Kazachstania aquatica,311204,,No,,No,
Kazachstania,Kazachstania australis,1936070,,No,,No,
Kazachstania,Kazachstania barnettii,61262,,Yes,GCA_903064755.1_KABA2_genomic.fna,Yes,GCA_903064755.1_KABA2_protein.faa
Kazachstania,Kazachstania bromeliacearum,1006466,,Yes,GCA_003708535.2_ASM370853v2_genomic.fna,No,
Kazachstania,Kazachstania bulderi,112263,,Yes,GCA_933962305.1_KABU0_CLIB596v1_genomic.fna,No,
Kazachstania,Kazachstania exigua,34358,,Yes,GCA_016584175.1_ASM1658417v1_genomic.fna,Yes,GCA_016584175.1_ASM1658417v1_protein.faa
Kazachstania,Kazachstania gamospora,308752,,No,,No,
Kazachstania,Kazachstania hellenica,473794,,No,,No,
Kazachstania,Kazachstania humilis,51915,,Yes,GCA_020313495.2_ASM2031349v2_genomic.fna,No,
Kazachstania,Kazachstania ichnusensis,933119,,No,,No,
Kazachstania,Kazachstania intestinalis,935788,,Yes,GCA_003708845.2_ASM370884v2_genomic.fna,No,
Kazachstania,Kazachstania jinghongensis,2862417,,No,,No,
Kazachstania,Kazachstania kunashirensis,488016,,Yes,GCA_003708465.1_ASM370846v1_genomic.fna,No,
Kazachstania,Kazachstania lodderae,1089531,,No,,No,
Kazachstania,Kazachstania martiniae,74404,,Yes,GCA_003708925.2_ASM370892v2_genomic.fna,No,
Kazachstania,Kazachstania menglunensis,2862418,,No,,No,
Kazachstania,Kazachstania molopis,1286812,,No,,No,
Kazachstania,Kazachstania naganishii,588726,,Yes,GCA_000348985.1_ASM34898v1_genomic.fna,Yes,GCA_000348985.1_ASM34898v1_protein.faa
Kazachstania,Kazachstania piceae,56483,,No,,No,
Kazachstania,Kazachstania pseudohumilis,640839,,No,,No,
Kazachstania,Kazachstania psychrophila,1337065,,No,,No,
Kazachstania,Kazachstania rosinii,56413,,Yes,GCA_003708425.2_ASM370842v2_genomic.fna,No,
Kazachstania,Kazachstania rupicola,1198442,,No,,No,
Kazachstania,Kazachstania saulgeensis,1789683,,Yes,GCA_900180425.1_ASM90018042v1_genomic.fna,Yes,GCA_900180425.1_ASM90018042v1_protein.faa
Kazachstania,Kazachstania serrabonitensis,1392788,,No,,No,
Kazachstania,Kazachstania servazzii,27293,,Yes,GCA_028408395.1_UA_PF_9_W20_2021_genomic.fna,No,
Kazachstania,Kazachstania siamensis,382647,,Yes,GCA_003708905.2_ASM370890v2_genomic.fna,No,
Kazachstania,Kazachstania sinensis,588727,,No,,No,
Kazachstania,Kazachstania solicola,1089532,,Yes,GCA_003708835.2_ASM370883v2_genomic.fna,No,
Kazachstania,Kazachstania spencerorum,1089533,,Yes,GCA_003708825.2_ASM370882v2_genomic.fna,No,
Kazachstania,Kazachstania taianensis,655095,,Yes,GCA_003708865.1_ASM370886v1_genomic.fna,No,
Kazachstania,Kazachstania bovina,278024,,Yes,GCA_023309525.1_ASM2330952v1_genomic.fna,No,
Kazachstania,Kazachstania heterogenica,278026,,No,,No,
Kazachstania,Kazachstania pintolopesii,278025,,No,,No,
Kazachstania,Kazachstania slooffiae,278027,,Yes,GCA_017347545.2_ASM1734754v2_genomic.fna,No,
Kazachstania,Kazachstania telluris,36907,,Yes,GCA_009394695.1_ASM939469v1_genomic.fna,No,
Kazachstania,Kazachstania turicensis,432100,,Yes,GCA_003708545.1_ASM370854v1_genomic.fna,No,
Kazachstania,Kazachstania unispora,27294,,Yes,GCA_003708525.2_ASM370852v2_genomic.fna,No,
Kazachstania,Kazachstania viticola,71246,,Yes,GCA_003708455.1_ASM370845v1_genomic.fna,No,
Kazachstania,Kazachstania yasuniensis,1468137,,No,,No,
Kazachstania,Kazachstania zonata,308750,,No,,No,
Citeromyces,Citeromyces hawaiiensis,1046750,,Yes,GCA_003706345.1_ASM370634v1_genomic.fna,No,
Citeromyces,Citeromyces matritensis,36909,,Yes,GCA_003705165.1_ASM370516v1_genomic.fna,No,
Citeromyces,Citeromyces nyonsensis,1306350,,No,,No,
Citeromyces,Citeromyces siamensis,109331,,Yes,GCA_003706365.1_ASM370636v1_genomic.fna,No,
Cyniclomyces,Cyniclomyces guttulatus,54199,,No,,No,
Eremothecium,Eremothecium ashbyi,33171,,No,,No,
Eremothecium,Eremothecium coryli,33173,,Yes,GCA_000710315.1_Eremothecium_coryli_genomic.fna,No,
Eremothecium,Eremothecium cymbalariae,45285,,Yes,GCA_000235365.1_ASM23536v1_genomic.fna,Yes,GCA_000235365.1_ASM23536v1_protein.faa
Eremothecium,Eremothecium gossypii,33169,,Yes,GCA_000091025.4_ASM9102v4_genomic.fna,Yes,GCA_000091025.4_ASM9102v4_protein.faa
Eremothecium,Eremothecium peggii,2801168,,No,,No,
Eremothecium,Eremothecium sinecaudum,45286,,No,,No,
Grigorovia,Grigorovia humatica,121233,,No,,No,
Grigorovia,Grigorovia transvaalensis,36916,,Yes,GCA_003708445.2_ASM370844v2_genomic.fna,No,
Grigorovia,Grigorovia yakushimaensis,432099,,Yes,GCA_003709265.1_ASM370926v1_genomic.fna,No,
Grigorovia,Grigorovia aff. yakushimaensis IMUFRJ 51944,655874,,No,,No,
Hagleromyces,Hagleromyces aurorensis,1460239,,No,,No,
